Altium Designer Pick and Place Locations
C:\Users\phili\OneDrive\Desktop\uni year 3\design 3\Design-3-Team-2\PCB_design_3_first_attempt\Project Outputs for PCB_design_3\Pick Place for mounting_pcb.csv

========================================================================================================================
File Design Information:

Date:       23-03-23
Time:       09:03
Revision:   105c5750d1e7cb6a7fbe74f5c9c38314f452c01d
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"33","Comment","TopLayer","SMTC-SSW-102-02-X-S","-465.000","-115.000","270","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"extra5","Comment","TopLayer","SMTC-SSW-102-02-X-S","526.699","-1365.000","210","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"extra4","Comment","TopLayer","SMTC-SSW-102-02-X-S","808.301","-1205.000","210","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"extra3","Comment","TopLayer","SMTC-SSW-102-02-X-S","1382.101","-513.015","70","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"13","Comment","TopLayer","SMTC-SSW-102-02-X-S","170.000","-240.000","270","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"extra 2","Comment","TopLayer","SMTC-SSW-102-02-X-S","-1383.015","402.899","160","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"extra 1","Comment","TopLayer","SMTC-SSW-102-02-X-S","-1351.985","527.101","160","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"U6","CD74HC4067M96","TopLayer","FP-DW0024A-MFG","-5.000","1125.000","180","IC MUX/DEMUX 1X16 24SOIC"
"Zener","MM3Z5V6ST1G","TopLayer","FP-477-02-MFG","-505.000","1135.000","90","DIODE ZENER 5.6V 300MW SOD323"
"Res800","MCA12060D8000BP500","TopLayer","FP-MCA1206-IPC_C","-649.754","1165.000","0","Res MC Precision Thin Film 1206 800O 0.1% 0.25W ±25ppm/°C Molded Paper T/R"
"res800G","MCA12060D8000BP500","TopLayer","FP-MCA1206-IPC_C","-555.000","1310.000","180","Res MC Precision Thin Film 1206 800O 0.1% 0.25W ±25ppm/°C Molded Paper T/R"
"43","Comment","TopLayer","SMTC-SSW-102-02-X-S","665.000","55.000","0","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"42","Comment","TopLayer","SMTC-SSW-102-02-X-S","645.000","165.000","0","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"41","Comment","TopLayer","SMTC-SSW-102-02-X-S","618.504","372.402","302","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"40","0","TopLayer","SMTC-SSW-102-02-X-S","453.857","554.990","321","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
"39","Comment","TopLayer","SMTC-SSW-102-02-X-S","241.985","677.899","340","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS"
