Time	Power	X	Y	Tension	Celcius	Profile
0,000	3,422	-0,690	0,791	38,716	15,511	4,220	4,220	4,221	4,222	4,223	4,222	4,223	4,221	4,221	4,222	4,222	4,222	4,223	4,222	4,220	4,217	4,989	4,226	4,230	4,229	4,229	4,228	4,228	4,227	4,231	4,229	4,227	4,227	4,228	4,226	4,228	4,227	4,228	4,227	4,228	4,990	4,227	4,229	4,230	4,228	4,228	4,227	4,230	4,229	4,229	4,230	4,228	4,228	3,818	3,816	3,877	3,883	3,874	3,874	3,917	3,917	3,856	3,857	3,905	3,905	3,904	3,901	3,966	3,961
0,358	3,552	-0,736	0,836	39,400	16,206	4,219	4,219	4,221	4,222	4,223	4,223	4,223	4,221	4,220	4,222	4,222	4,223	4,222	4,222	4,221	4,218	4,988	4,226	4,231	4,229	4,229	4,228	4,229	4,227	4,231	4,229	4,227	4,228	4,229	4,227	4,228	4,227	4,228	4,226	4,228	4,990	4,227	4,229	4,230	4,228	4,228	4,228	4,230	4,230	4,229	4,229	4,229	4,228	3,796	3,795	3,854	3,861	3,854	3,852	3,902	3,901	3,834	3,832	3,890	3,890	3,886	3,887	3,928	3,930
0,716	3,701	-0,785	0,875	40,204	17,010	4,219	4,219	4,222	4,222	4,223	4,223	4,222	4,221	4,220	4,222	4,223	4,223	4,223	4,222	4,221	4,218	4,988	4,226	4,231	4,230	4,230	4,227	4,229	4,227	4,231	4,229	4,228	4,228	4,229	4,227	4,229	4,228	4,228	4,227	4,228	4,990	4,227	4,229	4,230	4,228	4,228	4,228	4,230	4,230	4,229	4,230	4,229	4,229	3,771	3,770	3,829	3,835	3,829	3,826	3,885	3,886	3,811	3,811	3,871	3,873	3,866	3,868	3,911	3,911
1,074	3,812	-0,839	0,919	40,815	17,610	4,220	4,220	4,221	4,222	4,223	4,223	4,222	4,221	4,221	4,222	4,222	4,223	4,223	4,222	4,221	4,218	4,989	4,226	4,231	4,228	4,229	4,228	4,229	4,227	4,231	4,228	4,227	4,228	4,229	4,227	4,228	4,228	4,228	4,226	4,228	4,990	4,227	4,228	4,230	4,228	4,229	4,227	4,230	4,229	4,229	4,230	4,229	4,229	3,751	3,750	3,808	3,813	3,804	3,804	3,867	3,863	3,786	3,787	3,847	3,845	3,841	3,843	3,897	3,893
1,432	3,953	-0,898	0,966	41,569	18,375	4,220	4,220	4,222	4,222	4,223	4,223	4,222	4,221	4,220	4,222	4,222	4,223	4,222	4,222	4,222	4,218	4,989	4,226	4,231	4,229	4,230	4,228	4,229	4,227	4,230	4,229	4,228	4,228	4,229	4,228	4,229	4,228	4,229	4,226	4,228	4,990	4,226	4,229	4,230	4,228	4,229	4,228	4,230	4,230	4,229	4,230	4,230	4,229	3,727	3,725	3,784	3,789	3,781	3,780	3,840	3,837	3,760	3,762	3,821	3,822	3,818	3,815	3,878	3,873
1,790	4,085	-0,963	1,010	42,243	19,084	4,220	4,220	4,222	4,222	4,223	4,224	4,223	4,222	4,228	4,230	4,230	4,231	4,230	4,230	4,228	4,227	4,989	4,227	4,231	4,229	4,229	4,228	4,229	4,228	4,232	4,230	4,228	4,229	4,229	4,228	4,230	4,229	4,229	4,227	4,228	4,990	4,227	4,230	4,231	4,229	4,230	4,228	4,230	4,230	4,230	4,231	4,230	4,230	3,703	3,704	3,759	3,763	3,756	3,757	3,816	3,815	3,738	3,739	3,799	3,799	3,794	3,795	3,854	3,852
2,148	4,278	-1,063	1,076	43,321	20,127	4,228	4,228	4,228	4,230	4,231	4,231	4,230	4,228	4,228	4,229	4,230	4,230	4,230	4,230	4,228	4,227	4,990	4,227	4,231	4,230	4,230	4,228	4,229	4,227	4,231	4,229	4,227	4,228	4,229	4,228	4,229	4,229	4,230	4,228	4,228	4,990	4,228	4,230	4,231	4,228	4,229	4,228	4,230	4,230	4,229	4,231	4,229	4,229	3,668	3,667	3,723	3,727	3,720	3,718	3,777	3,777	3,702	3,702	3,758	3,759	3,755	3,754	3,811	3,809
2,506	4,430	-1,132	1,135	44,134	20,940	4,228	4,228	4,228	4,229	4,230	4,230	4,230	4,228	4,228	4,228	4,229	4,230	4,230	4,229	4,228	4,227	4,989	4,227	4,231	4,229	4,230	4,228	4,229	4,227	4,231	4,229	4,227	4,228	4,228	4,227	4,229	4,228	4,229	4,227	4,228	4,990	4,226	4,229	4,230	4,228	4,229	4,228	4,230	4,230	4,228	4,230	4,229	4,230	3,641	3,640	3,695	3,700	3,693	3,694	3,747	3,747	3,675	3,673	3,730	3,728	3,723	3,723	3,779	3,777
2,864	4,596	-1,204	1,195	45,017	21,824	4,228	4,228	4,228	4,229	4,230	4,230	4,229	4,228	4,228	4,228	4,229	4,230	4,230	4,230	4,228	4,226	4,989	4,227	4,231	4,230	4,230	4,229	4,229	4,228	4,231	4,229	4,227	4,228	4,229	4,227	4,229	4,229	4,229	4,227	4,228	4,990	4,227	4,229	4,231	4,228	4,229	4,228	4,230	4,230	4,229	4,230	4,229	4,230	3,609	3,610	3,664	3,668	3,662	3,661	3,717	3,716	3,644	3,645	3,700	3,699	3,697	3,695	3,751	3,750
3,222	4,725	-1,380	1,344	45,700	22,506	4,228	4,227	4,228	4,229	4,230	4,230	4,230	4,228	4,228	4,229	4,229	4,230	4,230	4,229	4,228	4,226	4,989	4,226	4,231	4,229	4,229	4,228	4,229	4,227	4,231	4,229	4,227	4,228	4,229	4,227	4,229	4,229	4,229	4,227	4,228	4,990	4,226	4,229	4,231	4,228	4,229	4,228	4,230	4,230	4,229	4,230	4,229	4,230	3,588	3,588	3,594	3,596	3,594	3,594	3,638	3,637	3,586	3,586	3,623	3,622	3,621	3,619	3,675	3,672
